"","concentration","time","sim"
"338",1.10387076294436e-21,2651.9709936399,"Sim1"
"339",4.71237910356777e-22,2657.18132912437,"Sim1"
"340",2.01169535068677e-22,2662.39166460885,"Sim1"
"341",8.5878451097256e-23,2667.60200009332,"Sim1"
"342",3.66611592572704e-23,2672.81233557779,"Sim1"
"343",1.56504988261239e-23,2678.02267106227,"Sim1"
"344",6.6811338885289e-24,2683.23300654674,"Sim1"
"345",2.85214870991462e-24,2688.44334203121,"Sim1"
"346",1.21757060989819e-24,2693.65367751569,"Sim1"
"347",5.19775909627178e-25,2698.86401300016,"Sim1"
"348",2.21890208282336e-25,2704.07434848463,"Sim1"
"349",9.47240216786761e-26,2709.2846839691,"Sim1"
"350",4.04372971319465e-26,2714.49501945358,"Sim1"
"351",1.72625166284027e-26,2719.70535493805,"Sim1"
"352",7.36929769003916e-27,2724.91569042252,"Sim1"
"353",3.14592301999951e-27,2730.126025907,"Sim1"
"354",1.34298166040165e-27,2735.33636139147,"Sim1"
"355",5.73313373756826e-28,2740.54669687594,"Sim1"
"356",2.44745132580687e-28,2745.75703236042,"Sim1"
"357",1.04480695312273e-28,2750.96736784489,"Sim1"
"358",4.46023811702859e-29,2756.17770332936,"Sim1"
"359",1.90405739559219e-29,2761.38803881384,"Sim1"
"360",8.12834308524449e-30,2766.59837429831,"Sim1"
"361",3.46995639230156e-30,2771.80870978278,"Sim1"
"362",1.48131018070976e-30,2777.01904526725,"Sim1"
"363",6.32365252872519e-31,2782.22938075173,"Sim1"
"364",2.69954138065075e-31,2787.4397162362,"Sim1"
"365",0.00011170966503236,2792.65005172067,"Sim1"
"366",4.76883987543007e-05,2797.86038720515,"Sim1"
"367",2.03579822309056e-05,2803.07072268962,"Sim1"
"368",8.6907392854429e-06,2808.28105817409,"Sim1"
"369",3.71004102817614e-06,2813.49139365857,"Sim1"
"370",1.58380132905446e-06,2818.70172914304,"Sim1"
"371",2.91060405154246e-07,3300,"Sim1"
"372",1.24252495597075e-07,3305.21033548447,"Sim1"
"373",5.30428817822869e-08,3310.42067096895,"Sim1"
"374",2.26437891186782e-08,3315.63100645342,"Sim1"
"375",9.66654088960895e-09,3320.84134193789,"Sim1"
"376",4.12660673886086e-09,3326.05167742237,"Sim1"
"377",1.76163152586641e-09,3331.26201290684,"Sim1"
"378",7.52033287713549e-10,3336.47234839131,"Sim1"
"379",3.2103993231564e-10,3341.68268387578,"Sim1"
"380",1.37050633030607e-10,3346.89301936026,"Sim1"
"381",5.85063542675532e-11,3352.10335484473,"Sim1"
"382",2.497612315965e-11,3357.3136903292,"Sim1"
"383",1.06622047450316e-11,3362.52402581368,"Sim1"
"384",4.55165156330721e-12,3367.73436129815,"Sim1"
"385",1.94308142163665e-12,3372.94469678262,"Sim1"
"386",8.29493505510377e-13,3378.1550322671,"Sim1"
"387",3.5410738223432e-13,3383.36536775157,"Sim1"
"388",1.51166992049794e-13,3388.57570323604,"Sim1"
"389",6.45325701520145e-14,3393.78603872051,"Sim1"
"390",2.75486900543269e-14,3398.99637420499,"Sim1"
"391",1.17604230223841e-14,3404.20670968946,"Sim1"
"392",5.02047645070148e-15,3409.41704517393,"Sim1"
"393",2.14322084707957e-15,3414.62738065841,"Sim1"
"394",9.14932207024826e-16,3419.83771614288,"Sim1"
"395",0.00011170966503275,3425.04805162735,"Sim1"
"396",4.76883987544675e-05,3430.25838711183,"Sim1"
"397",2.03579822309768e-05,3435.4687225963,"Sim1"
"398",8.69073928547329e-06,3440.67905808077,"Sim1"
"399",3.71004102818911e-06,3445.88939356524,"Sim1"
"400",1.58380132906e-06,3451.09972904972,"Sim1"
"401",6.7611830458829e-07,3456.31006453419,"Sim1"
"402",2.88632136753325e-07,3461.52040001866,"Sim1"
"403",1.23215877756067e-07,3466.73073550314,"Sim1"
"404",5.26003538690262e-08,3471.94107098761,"Sim1"
"405",2.24548757638546e-08,3477.15140647208,"Sim1"
"406",9.58589455169154e-09,3482.36174195656,"Sim1"
"407",4.09217914730407e-09,3487.57207744103,"Sim1"
"408",1.74693452794922e-09,3492.7824129255,"Sim1"
"409",7.45759199460192e-10,3497.99274840998,"Sim1"
"410",3.18361549721268e-10,3503.20308389445,"Sim1"
"411",1.35907242464178e-10,3508.41341937892,"Sim1"
"412",5.80182455148505e-11,3513.62375486339,"Sim1"
"413",2.47677515310393e-11,3518.83409034787,"Sim1"
"414",1.05732517496807e-11,3524.04442583234,"Sim1"
"415",4.51367789369274e-12,3529.25476131681,"Sim1"
"416",1.92687061751138e-12,3534.46509680129,"Sim1"
"417",8.22573179583074e-13,3539.67543228576,"Sim1"
"418",0.000111709665383513,3544.88576777023,"Sim1"
"419",4.76883989042065e-05,3550.09610325471,"Sim1"
"420",2.03579822948998e-05,3555.30643873918,"Sim1"
"421",8.69073931276176e-06,3560.51677422365,"Sim1"
"422",3.71004103983845e-06,3565.72710970812,"Sim1"
"423",1.58380133403305e-06,3570.9374451926,"Sim1"
"424",6.76118306711266e-07,3576.14778067707,"Sim1"
"425",2.88632137659615e-07,3581.35811616154,"Sim1"
"426",1.23215878142958e-07,3586.56845164602,"Sim1"
"427",5.26003540341886e-08,3591.77878713049,"Sim1"
"428",2.24548758343617e-08,3596.98912261496,"Sim1"
"429",9.58589458179074e-09,3602.19945809944,"Sim1"
"430",4.0921791601533e-09,3607.40979358391,"Sim1"
"431",1.74693453343451e-09,3612.62012906838,"Sim1"
"432",7.45759201801837e-10,3617.83046455286,"Sim1"
"433",3.18361550720907e-10,3623.04080003733,"Sim1"
"434",1.35907242890919e-10,3628.2511355218,"Sim1"
"435",5.80182456970247e-11,3633.46147100627,"Sim1"
"436",2.47677516088087e-11,3638.67180649075,"Sim1"
"437",1.05732517828802e-11,3643.88214197522,"Sim1"
"438",4.51367790786545e-12,3649.09247745969,"Sim1"
"439",1.92687062356165e-12,3654.30281294417,"Sim1"
"440",8.22573182165911e-13,3659.51314842864,"Sim1"
"441",3.51153124524712e-13,3664.72348391311,"Sim1"
"442",1.49905831525877e-13,3669.93381939759,"Sim1"
"443",6.39941858865143e-14,3675.14415488206,"Sim1"
"444",2.73188560150898e-14,3680.35449036653,"Sim1"
"445",1.16623078117864e-14,3685.564825851,"Sim1"
"446",4.97859146890075e-15,3690.77516133548,"Sim1"
"447",2.1253403197917e-15,3695.98549681995,"Sim1"
"448",9.0729908311389e-16,3701.19583230442,"Sim1"
"449",3.87322264840854e-16,3706.4061677889,"Sim1"
"450",1.65346289479957e-16,3711.61650327337,"Sim1"
"451",7.05856541865029e-17,3716.82683875784,"Sim1"
"452",3.01327268522741e-17,3722.03717424232,"Sim1"
"453",1.28635377544943e-17,3727.24750972679,"Sim1"
"454",5.49139161458974e-18,3732.45784521126,"Sim1"
"455",2.3442526030019e-18,3737.66818069573,"Sim1"
"456",1.00075184076846e-18,3742.87851618021,"Sim1"
"457",4.27216864564424e-19,3748.08885166468,"Sim1"
"458",1.82377130806083e-19,3753.29918714915,"Sim1"
"459",7.78560506382896e-20,3758.50952263363,"Sim1"
"460",3.32364293384844e-20,3763.7198581181,"Sim1"
"461",1.41884956418377e-20,3768.93019360257,"Sim1"
"462",6.05701071340258e-21,3774.14052908705,"Sim1"
"463",2.58571308110306e-21,3779.35086457152,"Sim1"
"464",1.10383033052811e-21,3784.56120005599,"Sim1"
"465",4.71220649923781e-22,3789.77153554047,"Sim1"
"466",0.00011170966503236,3794.98187102494,"Sim1"
"467",4.76883987543007e-05,3800.19220650941,"Sim1"
"468",2.03579822309056e-05,3805.40254199388,"Sim1"
"469",8.6907392854429e-06,3810.61287747836,"Sim1"
"470",3.71004102817614e-06,3815.82321296283,"Sim1"
"471",1.58380132905446e-06,3821.0335484473,"Sim1"
"472",6.76118304585925e-07,3826.24388393178,"Sim1"
"473",2.88632136752316e-07,3831.45421941625,"Sim1"
"474",1.23215877755636e-07,3836.66455490072,"Sim1"
"475",5.26003538688423e-08,3841.8748903852,"Sim1"
"476",2.24548757637761e-08,3847.08522586967,"Sim1"
"477",9.58589455165802e-09,3852.29556135414,"Sim1"
"478",4.09217914728976e-09,3857.50589683861,"Sim1"
"479",1.74693452794312e-09,3862.71623232309,"Sim1"
"480",7.45759199457585e-10,3867.92656780756,"Sim1"
"481",3.18361549720155e-10,3873.13690329203,"Sim1"
"482",1.35907242463703e-10,3878.34723877651,"Sim1"
"483",5.80182455146476e-11,3883.55757426098,"Sim1"
"484",2.47677515309527e-11,3888.76790974545,"Sim1"
